name,sku,price,quantity,tags,image,description
Blazer Dress - Camel,APP-055,109.99,25,"clothing,dress,power",https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,"Double-breasted blazer dress. Notch lapels. Gold button details."
Fleece Zip-Up - Grey,APP-056,54.99,70,"clothing,activewear,layering",https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,"Full-zip fleece jacket. Stand collar. Zip pockets. Thumbhole cuffs."
Combat Boots - Black Leather,SHOE-024,149.99,30,"footwear,boots,edgy",https://images.unsplash.com/photo-1638247025967-b4e38f787b76?w=400,"Leather combat boots with padded collar. Lace-up front. Chunky rubber sole."
Bracelet - Leather Wrap,ACC-024,29.99,80,"accessories,jewelry,casual",https://images.unsplash.com/photo-1524592094714-0f0654e20314?w=400,"Multi-strand leather wrap bracelet with magnetic clasp. Unisex design."
Maxi Skirt - Tiered Black,APP-057,58.99,45,"clothing,skirts,bohemian",https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,"Tiered maxi skirt with elastic waistband. Flowy silhouette. Fully lined."
Raincoat - Yellow,APP-058,79.99,35,"clothing,outerwear,weather",https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,"Waterproof rain jacket with hood. Snap closure. Ventilated back panel."
Strappy Sandals - Gold,SHOE-025,49.99,55,"footwear,sandals,dressy",https://images.unsplash.com/photo-1603487742131-4160ec999306?w=400,"Metallic strappy flat sandals. Adjustable ankle strap. Cushioned footbed."
Necklace - Layered Gold,ACC-025,34.99,100,"accessories,jewelry,trendy",https://images.unsplash.com/photo-1601370690183-1c7796ecec61?w=400,"Set of 3 layered gold chains. Varying lengths. Lobster clasp closures."
Midi Skirt - Satin Green,APP-059,52.99,40,"clothing,skirts,elegant",https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,"Satin midi skirt with bias cut. Side zip closure. Subtle sheen."
Cable Knit Sweater - Ivory,APP-060,69.99,50,"clothing,knitwear,cozy",https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?w=400,"Chunky cable knit pullover sweater. Crew neck. Oversized fit."
Sock Boots - Beige,SHOE-026,89.99,30,"footwear,boots,trendy",https://images.unsplash.com/photo-1543163521-1bf539c55dd2?w=400,"Stretch knit sock boots with stiletto heel. Pointed toe. 8cm heel."
Laptop Sleeve - Grey Felt,ACC-026,39.99,60,"accessories,tech,minimal",https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400,"Premium wool felt laptop sleeve. Fits 13-14 inch laptops. Leather accent."
Tie-Front Blouse - Yellow,APP-061,36.99,55,"clothing,tops,playful",https://images.unsplash.com/photo-1564246544814-5bf4e6d1e3e3?w=400,"Cropped blouse with tie-front detail. Puff sleeves. V-neckline."
Straight Leg Jeans - Medium,APP-062,58.99,80,"clothing,jeans,classic",https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=400,"Classic straight leg jeans. Mid-rise waist. Traditional five-pocket style."
Tennis Shoes - White/Green,SHOE-027,74.99,65,"footwear,sneakers,retro",https://images.unsplash.com/photo-1549298916-b41d501d3772?w=400,"Retro leather tennis shoes with contrast heel tab. Rubber cupsole."
Ring Set - Stacking Gold,ACC-027,19.99,120,"accessories,jewelry,minimal",https://images.unsplash.com/photo-1601370690183-1c7796ecec61?w=400,"Set of 5 thin stacking rings. Gold-plated brass. Various textures."
Wrap Top - Floral Print,APP-063,32.99,70,"clothing,tops,romantic",https://images.unsplash.com/photo-1564246544814-5bf4e6d1e3e3?w=400,"Wrap-front blouse with floral print. 3/4 length sleeves. Self-tie closure."
Wool Coat - Camel,APP-064,189.99,15,"clothing,outerwear,investment",https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,"Double-breasted wool coat. Notch lapels. Fully lined. Knee length."
Kitten Heels - Blush,SHOE-028,64.99,45,"footwear,heels,feminine",https://images.unsplash.com/photo-1543163521-1bf539c55dd2?w=400,"Pointed toe kitten heels in suede. 5cm heel height. Padded insole."
Weekender Bag - Canvas,ACC-028,89.99,25,"accessories,bags,travel",https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400,"Canvas and leather weekender bag. Detachable strap. Multiple pockets."
