"name","sku","price","quantity","tags","image","description"
"PUCCI Scorci Fiorentini print scarf","ACC-00001","365.0","25","accessories,pucci,women","https://cdn-images.farfetch-contents.com/15/65/22/62/15652262_28667234_1000.jpg","Little details can make all the difference in a look. Boasting a wool construction, this Scorci Fiorentini print scarf is the one that will bring your outfit together. Emilio Pucci’s got this one all tied up."
"Shrimps wide-collar crochet sweater","APP-00001","304.0","25","clothing,shrimps,women","https://cdn-images.farfetch-contents.com/17/71/62/83/17716283_37260405_1000.jpg","Shrimps wide-collar crochet sweater."
"Tory Burch logo-embroidered fine-knit jumper","APP-00002","454.0","25","clothing,tory burch,women","https://cdn-images.farfetch-contents.com/17/61/43/60/17614360_37465695_1000.jpg","Tory Burch logo-embroidered fine-knit jumper."
"Jil Sander rope-detail rib knit midi skirt","APP-00003","1005.0","25","clothing,jil sander,women","https://cdn-images.farfetch-contents.com/16/35/45/60/16354560_31438387_1000.jpg","Change is good. So, switch up your loungewear looks with this Jil Sander rib knit cotton skirt...just as comfy, and a whole lot more stylish. Bet you forgot what skirts feel like..."
"John Elliott Himalayan cargo trousers","APP-00004","573.0","25","clothing,john elliott,women","https://cdn-images.farfetch-contents.com/14/61/73/81/14617381_22612678_1000.jpg","Olive green cotton blend Himalayan cargo trousers from John Elliott featuring an elasticated waistband with a drawstring fastening, side slit pockets, a back pocket, front pockets and an elasticated hem."
"AZ FACTORY Heart necklace","ACC-00002","182.0","25","accessories,az factory,jewelry,women","https://cdn-images.farfetch-contents.com/16/24/52/31/16245231_31401190_1000.jpg","Forever is a long time… But we're sure that this Heart necklace wouldn’t mind spending it on your neck. Inspired by Alber's personal hand-drawn notes and illustrations, this necklace is a celebration of love and represents that which AZ Factory wants to share with you. Handle with care."
"Gianvito Rossi Tropea 80mm sandals","SHOE-00001","810.0","25","gianvito rossi,shoes,women","https://cdn-images.farfetch-contents.com/17/73/32/41/17733241_37201953_1000.jpg","Gianvito Rossi Tropea 80mm sandals."
"Billionaire Boys Club logo single-breasted jacket","APP-00005","188.0","25","billionaire boys club,clothing,men","https://cdn-images.farfetch-contents.com/17/14/96/98/17149698_35240060_1000.jpg","Billionaire Boys Club logo single-breasted jacket."
"Orciani soft leather belt","ACC-00003","127.0","25","accessories,men,orciani","https://cdn-images.farfetch-contents.com/17/18/95/05/17189505_34963519_1000.jpg","Orciani soft leather belt."
"Valentino Garavani VLOGO low top sneakers","SHOE-00002","548.0","25","men,shoes,valentino garavani","https://cdn-images.farfetch-contents.com/15/35/91/74/15359174_28112796_1000.jpg","Whoever said that sneakers were meant for the scruffy clearly doesn't know where to shop. Luckily you do, so go ahead and slip into these Valentino Garavani VLOGO low top sneakers that have a sleek rear strap. Casual never looked so good."
"Off-White checked floral shirt","APP-00006","760.0","25","clothing,off-white,women","https://cdn-images.farfetch-contents.com/16/72/05/31/16720531_32913148_1000.jpg","A shirt that makes a statement. The florals over the checkerboard print and the tie-fastening twist detail will have you stepping out in true Off-White fashion. The streets will never be the same."
"Officine Creative interwoven leather belt","ACC-00004","312.0","25","accessories,men,officine creative","https://cdn-images.farfetch-contents.com/17/60/43/84/17604384_37354873_1000.jpg","Officine Creative interwoven leather belt."
"Dolce &amp; Gabbana Kids logo-print long-sleeved shirt","APP-00007","335.0","25","boys clothing,clothing,dolce & gabbana kids,dolce &amp; gabbana kids,kids","https://cdn-images.farfetch-contents.com/16/23/75/20/16237520_30925702_1000.jpg","As winter takes over, you'll need to invest in some stylishly statement clothing for your special boy. This logo print shirt from Dolce & Gabbana Kids should be first on your shopping list. Boasting a classic button-up design, he'll never be facing a lacklustre cold-weather wardrobe again."
"Diesel S-ASTICO high-top sneakers","SHOE-00003","214.0","25","diesel,men,shoes","https://cdn-images.farfetch-contents.com/16/11/17/52/16111752_30452593_1000.jpg","Diesel S-ASTICO high-top sneakers."
"ASPESI lightweight hooded coat","APP-00008","948.0","25","aspesi,clothing,women","https://cdn-images.farfetch-contents.com/16/11/21/00/16112100_32067191_1000.jpg","ASPESI lightweight hooded coat."
"Lala Berlin pointelle-knit belted cardi-coat","APP-00009","526.0","25","clothing,lala berlin,women","https://cdn-images.farfetch-contents.com/17/27/12/00/17271200_35398109_1000.jpg","Lala Berlin pointelle-knit belted cardi-coat."
"Bally monogram print wallet","ACC-00005","486.0","25","accessories,bally,women","https://cdn-images.farfetch-contents.com/17/31/60/87/17316087_35870993_1000.jpg","Bally monogram print wallet."
"Golden Goose paisley-print silk scarf","ACC-00006","234.0","25","accessories,golden goose,women","https://cdn-images.farfetch-contents.com/17/65/93/45/17659345_37040217_1000.jpg","Golden Goose paisley-print silk scarf."
"Bally Hike 1 lace-up boots","SHOE-00004","1261.0","25","bally,shoes,women","https://cdn-images.farfetch-contents.com/17/54/85/36/17548536_36937754_1000.jpg","Bally Hike 1 lace-up boots."
"Givenchy Kids logo-waistband trousers","APP-00010","244.0","25","boys clothing,clothing,givenchy kids,kids","https://cdn-images.farfetch-contents.com/16/98/87/90/16988790_33996319_1000.jpg","Givenchy Kids logo-waistband trousers."
"Armani Exchange padded high-neck jacket","APP-00011","259.0","25","armani exchange,clothing,men","https://cdn-images.farfetch-contents.com/17/35/04/15/17350415_36034205_1000.jpg","Armani Exchange padded high-neck jacket."
"RE/DONE 70s shearling-trimmed suede clogs","SHOE-00005","972.0","25","re/done,shoes,women","https://cdn-images.farfetch-contents.com/17/20/35/01/17203501_35428568_1000.jpg","RE/DONE 70s shearling-trimmed suede clogs."
"Kenzo Kids animal-print hooded jacket","APP-00012","339.0","25","boys clothing,clothing,kenzo kids,kids","https://cdn-images.farfetch-contents.com/17/25/11/74/17251174_35073065_1000.jpg","Kenzo Kids animal-print hooded jacket."
"Duskii Capriosca bikini top","PROD-00001","56.0","25","activewear,duskii,women","https://cdn-images.farfetch-contents.com/13/67/13/74/13671374_16507792_1000.jpg","Blueberry blue cotton blend Capriosca bikini top from duskii featuring spaghetti straps, a sweetheart neckline, an open back and gold-tone hardware."
"Gucci Kids interlocking G print sweatshirt","APP-00013","354.0","25","baby boy clothing,clothing,gucci kids,kids","https://cdn-images.farfetch-contents.com/15/02/96/12/15029612_25276359_1000.jpg","Your little baby will never look so cool. Constructed from pure cotton, this interlocking G print sweatshirt from Gucci Kids is the way to guy if you want him to be the coolest baby around the block. Team Gucci since little."
"Maison Kitsuné fox patch hoodie","APP-00014","319.0","25","clothing,maison kitsuné,women","https://cdn-images.farfetch-contents.com/14/46/65/07/14466507_21344474_1000.jpg","Maison Kitsuné evokes a laid-back lifestyle through their quintessentially Parisian clothing ranges, where a fashion-forward edge elevates classic preppy silhouettes. This black cotton logo hoodie features a hood with drawstring tie fastenings, a contrast embroidered logo at the chest, dropped shoulders, a central pouch pocket and long sleeves."
"Prada intarsia-knit logo jumper","APP-00015","2290.0","25","clothing,prada,women","https://cdn-images.farfetch-contents.com/15/95/28/12/15952812_29515893_1000.jpg","Not your average knit. With an intarsia-knit logo front and centre, this jumper is leaving no mysteries as to its origins, and we wouldn't want it to. Prada or nada."
"Eleventy striped T-shirt","APP-00016","285.0","25","clothing,eleventy,men","https://cdn-images.farfetch-contents.com/17/63/15/10/17631510_36803787_1000.jpg","Eleventy striped T-shirt."
"Madison.Maison 3 Stripe &amp; Your Out leather sneakers","SHOE-00006","782.0","25","madison.maison,shoes,women","https://cdn-images.farfetch-contents.com/17/14/29/15/17142915_34881513_1000.jpg","Madison.Maison 3 Stripe &amp; Your Out leather sneakers."
"Dkny Kids multi-pocket cotton cargo trousers","APP-00017","84.0","25","boys clothing,clothing,dkny kids,kids","https://cdn-images.farfetch-contents.com/17/64/55/25/17645525_37218987_1000.jpg","Dkny Kids multi-pocket cotton cargo trousers."
"Sergio Rossi Sr1 55mm logo plaque pumps","SHOE-00007","772.0","25","sergio rossi,shoes,women","https://cdn-images.farfetch-contents.com/15/56/91/23/15569123_29584953_1000.jpg","Sergio Rossi Sr1 55mm logo plaque pumps."
"Scarosso x Paula Cademartori West sandals","SHOE-00008","469.0","25","scarosso,shoes,women","https://cdn-images.farfetch-contents.com/17/01/57/30/17015730_34049132_1000.jpg","Tobacco brown leather x Paula Cademartori West sandals from Scarosso featuring cut-out detailing, open toe, tie-fastening ankle strap, branded insole and rope sole."
"MSGM Kids logo-print T-shirt","APP-00018","100.0","25","baby boy clothing,clothing,kids,msgm kids","https://cdn-images.farfetch-contents.com/17/81/22/76/17812276_37391792_1000.jpg","MSGM Kids logo-print T-shirt."
"WAUW CAPOW by BANGBANG Maya Limited T-shirt dress","APP-00019","85.0","25","clothing,girls clothing,kids,wauw capow by bangbang","https://cdn-images.farfetch-contents.com/16/94/30/56/16943056_33931836_1000.jpg","WAUW CAPOW by BANGBANG Maya Limited T-shirt dress."
